code;label-es_ES;label-nl_NL;label-nl_BE;label-nb_NO;label-it_IT;label-fr_FR;label-fi_FI;label-en_US;label-sv_SE;label-en_IE;label-en_GB;label-de_DE;label-de_CH;label-de_AT;label-da_DK;label-cs_CZ;label-pl_PL;attribute;sort_order
0_6_3_5_125_mm;"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";"0,6X3,5X125 mm";size;1
0_8_4_0_200_mm;"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";"0,8X4,0X200 mm";size;1
1_2_6_5_200_mm;"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";"1,2X6,5X200 mm";size;1
1_6_8_0_175_mm;"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";"1,6X8,0X175 mm";size;1
1_6_10_0_200_mm;"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";"1,6X10,0X200 mm";size;1
2_0_12_0_250_mm;"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";"2,0X12,0X250 mm";size;1
0_6_3_5_25_mm;"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";"0,6X3,5X25 mm";size;1
0_6_3_5_35_mm;"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";"0,6X3,5X35 mm";size;1
0_8_4_0_25_mm;"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";"0,8X4,0X25 mm";size;1
0_8_4_0_35_mm;"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";"0,8X4,0X35 mm";size;1
1_0_5_5_25_mm;"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";"1,0X5,5X25 mm";size;1
1_0_5_5_35_mm;"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";"1,0X5,5X35 mm";size;1
1_2_6_5_25_mm;"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";"1,2X6,5X25 mm";size;1
1_2_6_5_35_mm;"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";"1,2X6,5X35 mm";size;1
ph0_60_mm;"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";"PH0X60 mm";size;1
ph1_80_mm;"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";"PH1X80 mm";size;1
ph1_200_mm;"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";"PH1X200 mm";size;1
ph2_100_mm;"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";"PH2X100 mm";size;1
ph2_150_mm;"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";"PH2X150 mm";size;1
ph2_200_mm;"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";"PH2X200 mm";size;1
ph3_150_mm;"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";"PH3X150 mm";size;1
ph4_200_mm;"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";"PH4X200 mm";size;1
d3_0_c25_l87_mm;"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";"D:3,0 / C:25 / L:87 mm";size;1
d3_0_c35_l97_mm;"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";"D:3,0 / C:35 / L:97 mm";size;1
d4_5_c25_l87_mm;"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";"D:4,5 / C:25 / L:87 mm";size;1
d4_5_c35_l97_mm;"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";"D:4,5 / C:35 / L:97 mm";size;1
d6_0_c25_l87_mm;"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";"D:6,0 / C:25 / L:87 mm";size;1
d6_0_c35_l97_mm;"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";"D:6,0 / C:35 / L:97 mm";size;1
pz0_60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;PZ0X60;size;1
pz1_80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;PZ1X80;size;1
pz2_100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;PZ2X100;size;1
pz3_150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;PZ3X150;size;1
pz0_l_87_mm;"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";"PZ0 - L: 87 mm";size;1
pz0_l_97_mm;"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";"PZ0 - L: 97 mm";size;1
pz1_l_87_mm;"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";"PZ1 - L: 87 mm";size;1
pz1_l_97_mm;"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";"PZ1 - L: 97 mm";size;1
pz2_l_87_mm;"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";"PZ2 - L: 87 mm";size;1
pz2_l_97_mm;"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";"PZ2 - L: 97 mm";size;1
8_50_nm;"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";"8-50 Nm";size;1
30_150_nm;"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";"30 - 150 Nm";size;1
50_250_nm;"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";"50 - 250 Nm";size;1
60_330_nm;"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";"60-330 Nm";size;1
2_24_nm;"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";"2-24 Nm";size;1
5_110_nm;"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";"5-110 Nm";size;1
42_210_nm;"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";"42-210 Nm";size;1
35_350_nm;"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";"35-350 Nm";size;1
70_560_nm;"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";"70-560 Nm";size;1
140_700_nm;"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";"140-700 Nm";size;1
140_980_nm;"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";"140-980 Nm";size;1
o_27_mm_6_sides;"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sidor";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 Sides";"Ø: 27 mm - 6 sides";"Ø: 27 mm - 6 Sides";size;1
o_32_mm_6_sides;"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sidor";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 Sides";"Ø: 32 mm - 6 sides";"Ø: 32 mm - 6 Sides";size;1
o_36_mm_6_sides;"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sidor";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 Sides";"Ø: 36 mm - 6 sides";"Ø: 36 mm - 6 Sides";size;1
o_66_mm_6_sides;"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sidor";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 Sides";"Ø: 66 mm - 6 sides";"Ø: 66 mm - 6 Sides";size;1
o_76_mm_12_sides;"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sidor";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 Sides";"Ø: 76 mm - 12 sides";"Ø: 76 mm - 12 Sides";size;1
o_86_mm_18_sides;"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sidor";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 Sides";"Ø: 86 mm - 18 sides";"Ø: 86 mm - 18 Sides";size;1
o_96_mm_18_sides;"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sidor";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 Sides";"Ø: 96 mm - 18 sides";"Ø: 96 mm - 18 Sides";size;1
